S.No,Unique ID,Stretch,Scheme,Package,SPV/Company,Company CIN,Developer,Developer CIN,State,Mode,Project Status,NH/SH,NH/SH No,Phase,Lane,Stretch (Kms),Lane Kilometer,RFP,RFQ,Letter Of Award,Concession Period (Years),Construction Period (Months),Concession Agreement Signed,Financial Closure,Construction Commencement,Scheduled Project Completion,Anticipated Completion,Provisional Commercial Operation Date,Actual Completion,Basis Of Award,Annuity (Rs.Cr),Grant (Rs.Cr),Negative Grant (Rs.Cr),Project Cost (Rs.Cr),Revised Project Cost (Rs.Cr),Dev Cost (Rs.Cr),Equity (Rs.Cr),Long Term Loan (Rs.Cr),Debt (Rs.Cr),Incremental Cost (Rs.Cr),TPC per km (Rs.Cr),Time Overrun (Months),Independent Engineer,Other members,Remarks,Project Name
11,N/07061/01001/AP,Vakalpudi Light House - Annavaram,Bharatamala Pariyojana,,Annavaram Expressway Pvt Ltd,U42101TS2023PTC172671,Auro Infra Pvt Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,516 F,,4,40.621,162.484,Jul-2022,,Mar-2023,,,,,,,,,,,0.00,0.00,0.00,1052.01,1439.88,0.00,0.00,0.00,0.00,,35.45,,,,Design (km 0.000 - km 40.621);,4L Access controlled Highway From Vakalpudi Light House to Annavaram (on NH-16) section of NH-516F (From Km0+000 to Km40+621)
12,N/07060/01002/AP ,Samarlakota - Achampeta Jn.,Bharatmala Pariyojana,Kakinada Port Connectivity,,,Rail Vikas Nigam Ltd,L74999DL2003GOI118633,Andhra Pradesh,EPC,Under implementation,National Highway,516 F,,4,12.25,49,Feb-2022,,Sep-2022,7,24,Jan-2023,,Aug-2023,Aug-2025,Aug-2025,,,,0.00,0.00,0.00,408.00,645.63,0.00,0.00,0.00,0.00,,52.70,NA,"Artefacts Projects Ltd,Global Infra Solution,Renaissance IOT LLP",,Design (km 0.000 - km 12.250);,4 Lane access controlled highway from Samarlakota to Achampeta Junction (from km. 0.000 to Km. 12.250) as a part of Kakinada port to NH-16 connectivity in the State of Andhra Pradesh on EPC mode under Bharatmala Pariyojana.
13,N/07071/01005/AP,Port connectivity - Sheelanagar Jn.,Bharatmala Pariyojana,,,,RKD Construction Pvt Ltd,U45203OR1996PTC004295,Andhra Pradesh,EPC,Under implementation,National Highway,516 C,,6,0,0,Oct-2022,,Mar-2023,12,24,Apr-2023,,Feb-2024,Feb-2026,Feb-2026,,,,0.00,0.00,0.00,501.65,685.99,0.00,0.00,0.00,0.00,,0.00,NA,"Global Infra Solutions,Artefact Projects Ltd,MS Consultant",,,"4 lane road to 6 lane road and 4 lane dedicated Port Roads for the Port connectivity road from Convent junction to Sheelanagar Junction in the State of Andhra Pradesh (2nd Call) through an Engineering, Procurement and Construction (EPC) Contract."
14,N/04025/07001/KA,Bellary - Byrapura,Bharatmala Pariyojana,Package - 1,DBL Bellary Byrapura Highways Pvt Ltd,U45500MP2018PTC046171,Dilip Buildcon Ltd,,"Andhra Pradesh,Karnataka",PPP HAM,Provisionally Completed,National Highway,150 A,Phase - 1,4,54.95,219.8,May-2018,,Jun-2018,17,24,Jul-2018,Apr-2019,Oct-2019,Oct-2021,Dec-2024,Jan-2022,,Grant,0.00,0.00,0.00,1313.90,1281.47,0.00,0.00,0.00,0.00,,23.32,,ARMENGE Engineering Pvt Ltd,,"Design (km 253.600 - km 308.550);
PCOD - January 2022;",4 Laning from 253.600 km to 308.550 km of Bellary to Byrapura Section of NH-150A (Package-I) on hybrid annuity mode (HAM) under Bharatmala Pariyojana in the state of Karnataka
15,N/01003/01001/KA,Bangalore - Malur,Bharatmala Pariyojana,[Bangalore - Chennai Expressway] (Phase - 1) (Package - 1),Bangalore Malur Highways Pvt Ltd,U45203MP2021PTC055478,Dilip Buildcon Ltd,,Karnataka,PPP HAM,Provisionally Completed,National Highway,207,Phase - 1,4,27.1,108.4,Sep-2020,Dec-2020,Mar-2021,17,24,May-2021,Sep-2021,Sep-2021,Sep-2023,Dec-2024,May-2024,May-2024,,0.00,0.00,0.00,1160.00,3184.00,0.00,0.00,0.00,0.00,,117.49,,"SATRA Services and Solutions Pvt Ltd,K&J Projects Pvt Ltd",,"Design (km 0.000  - km 26.400);
PCOD - May 2024;","4 Laning from km 0.000 to km 26.400 (along with 0.700km approach towards NH 207 with interchange on NH4 at start point) of Bangalore to Malur Section of Bangalore Chennai Expressway on Hybrid Annuity Mode under Bharaunala Pariyojana, in the state of Karnataka Phase-l Package-l)."
16,,Periya Shanthi - Bantwal,,Bangalore - Mangalore,,,KNR Constructions Ltd,L74210TG1995PLC130199,Karnataka,EPC,Foreclosed,National Highway,75,,4,48.485,193.94,,,Mar-2021,,24,,,Nov-2021,Nov-2023,,,,,0.00,0.00,0.00,1100.88,0.00,0.00,0.00,0.00,0.00,,22.71,,,,,4-laning of Bangalore-Mangalore Section from km 270.270 (Periya Shanthi) to km 318.755 (Bantwal) including 6-lane Flyover at Kalladka Town in km. 311- km. 314 on NH-75 on EPC Basis in Karnataka
17,N/09035/01001/KA,Belgaum - Khanapur ,Bharatmala Pariyojana,Package - 1,Ashoka Belgaum Khanapur Road Pvt Ltd,U45500DL2018PTC332195,Ashoka Buildcon Ltd,,Karnataka,PPP HAM,Provisionally Completed,National Highway,4 A,Phase - 1,6,30.8,184.8,,,Mar-2018,17.5,30,Apr-2018,Sep-2018,Mar-2019,Sep-2021,Jul-2025,Jan-2023,,Negative Grant,55.00,0.00,373.52,856.20,0.00,0.00,59.00,295.00,176.00,,27.80,,"URS Scott Wilson India Pvt. Ltd., Sterling Indo Tech Consultants P. Ltd.",,"Design (km 0.000 - km 30.800);
PCOD - January 2023;",4 laning of Belgaum - Khanapur section Km. 0+000 - Km. 30+800 (Design Ch. Km. 0+000 to Km. 30.000) of NH-4A in the state of Karnataka on hybrid Annuity Mode
18,,Gangadhara - Karimnagar Bypass,NH(O),Jagtial - Karimnagar Section ,,,,,Telangana,PPP HAM,Under Bidding,National Highway,563,,4,30.866,123.464,Jul-2024,,,,,,,,,,,,,0.00,0.00,0.00,893.79,0.00,0.00,0.00,0.00,0.00,,28.96,,,,Design Ch km 28.000 - km 58.866,4-Laning of Jagtial - Karimnagar Section of NH- 563 from Gangadhara at Design Ch. 28.000 (Existing chainage 23/350 on NH-563) to Design Ch.58.866 km (near SH-1 Ch. 170.400 km) at Karimnagar Bypass (Design Length 30.866 km) under NH(O) on Hybrid Annuity Mode in the State of Telangana
19,,Jagtial Bypass - Gangadhara,NH(O),Jagtial - Karimnagar Section,,,,,Telangana,PPP HAM,Under Bidding,National Highway,563,,4,28,112,Jul-2024,,,,,,,,,,,,,0.00,0.00,0.00,848.46,0.00,0.00,0.00,0.00,0.00,,30.30,,,,Design Ch. (0.000 km to 28.000 km),"4-Laning of Jagtial - Karimnagar Section of NH-563 from Jagtial Bypass Start at Design Ch. 0.000 (Existing chainage 90/500 on NH-63) to Design Ch.28.000 km (Existing chainage 23/350 on NH-563) near Gangadhara (Design Length 28.000 km) under NH(O),on Hybrid Annuity Mode in the State of Telangana."
20,N/08006/05002/AP,Muchukota - Bugga,NH (O),Muchukota - Bugga Section (Package - 2),MEIL Ananthapur Roadways Pvt Ltd,U45201TG2022PTC169794,Megha Engineering & Infrastructures Ltd,,Andhra Pradesh,PPP HAM,Under implementation,National Highway,544 D,,4,32,128,Jul-2022,,Dec-2022,,,Feb-2023,,Aug-2023,Aug-2025,Aug-2025,,,,0.00,0.00,0.00,733.35,1097.57,0.00,0.00,0.00,0.00,,34.30,NA,,,Design (km 37.000 - km 69.000);,4 Laning of NH-544D from Km 37.000 to km 69.000 of Muchukota- Bugga section (Pkg-2)
21,,Rajapalayam - Shenkottai,,,,,,,Tamil Nadu,PPP HAM,Under Bidding,National Highway,744,,4,23.65,94.6,Nov-2024,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,Design (km 116.250 to km 139.00);,4 Laning of Rajapalayam to Shenkottai Section of NH- 744 from Km 116+250 to Km 139+900 (Design Chainage) in Tamil Nadu on Hybrid Annuity Mode (Project Length-23.650Km) (Package-III)
22,,Rajapalayam - Shekottai,,,,,,,Tamil Nadu,PPP HAM,Under Bidding,National Highway,744,,4,68.3,273.2,Jan-2025,,,,,,,,,,,,,0.00,0.00,0.00,2361.08,0.00,0.00,0.00,0.00,0.00,,34.57,,,,Design (km 71.600 - km 139.900);,4 Laning of Rajapalayam to Shenkottai Section of NH- 744 from Km 71+600 to Km 139+900 (Design Chainage) in Tamil Nadu (Project Length-68.3Km) on Hybrid Annuity Mode.
23,,Rajapalayam - Shenkottai,,Package - 1,,,,,Tamil Nadu,PPP HAM,Under Bidding,National Highway,744,,4,21.5,86,Nov-2024,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,Design (km 71.600 to km 93.100),4 Laning of Rajapalayam to Shenkottai Section of NH-744 from Km 71+600 to Km 93+100 (Design Chainage) in Tamil Nadu on Hybrid Annuity Mode (Project Length-21.5Km) (Package-I).
24,,Rajapalayam - Shenkottai,,Package - 2,,,,,Tamil Nadu,PPP HAM,Under Bidding,National Highway,744,,4,23.15,92.6,Nov-2024,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,Design (km 93.100 to km 116.250);,4 Laning of Rajapalayam to Shenkottai Section of NH- 744 from Km 93+100 to Km 116+250 (Design Chainage) in Tamil Nadu on Hybrid Annuity Mode (Project Length-23.15Km) (Package-II)
25,N/01003/09001/TN,Kancheepuram - Sriperumbudur,Bharatmala Pariyojana,Bangalore - Chennai Expressway (Phase - 3) (Package -4),RCCL Srikanche Expressway Pvt Ltd,U45400TZ2021PTC037141,Ramalingam Construction Company Pvt Ltd,,Tamil Nadu,PPP HAM,Under implementation,National Highway,NE 7,Phase - 1,4,32.1,128.4,Feb-2021,,Sep-2021,,,Nov-2021,,Jul-2022,Jul-2024,Jul-2025,,,,0.00,0.00,0.00,1580.00,2948.31,0.00,0.00,0.00,0.00,,91.85,8,"MSV International Inc.,MSV International Tech. Pvt. Ltd. (JV)",,Design (Km 230.000 - Km 262.100);,4L Bangalore-Chennai Expressway from Km. 230.000 to Km. 261.705 of Kanchepuram to Sriperumbudur Section (Phase-III/Package-IV)
26,N/01003/02002/KA,Bangarpet - Bethamangala,Bharatmala Pariyojana,Bangalore - Chennai Expressway (Phase - 1) (Package - 3),KCC Bethamangala Expressway Pvt Ltd,U45209DL2021PTC379528,KCC Buildcon Pvt Ltd,,Karnataka,PPP HAM,Provisionally Completed,National Highway,NE7,Phase - 1,4,17.5,70,Jan-2021,,Mar-2021,,24,Jun-2021,,Jan-2022,Jan-2024,Jan-2025,May-2024,,,0.00,345.20,0.00,863.00,1069.00,0.00,0.00,0.00,325.00,,61.09,,K&J Projects Pvt Ltd,,"Design (km 53.500 - km 71.00);
PCOD - May 2024; Anticipated Completion date updated in a Data Lake file-Old Data Lake file deleted.",4L Expressway from km 53.500 to km 71.000 of Bangarpet to Bethamangala section of Bangalore-Chennai Expressway (Phase-1 Package-3)
27,N/04029/07003/KA,Addahole - Bantwal Cross Section,Bharatmala Pariyojana,Package - 1,,,Shri S M Autade Pvt Ltd,U45200PN2014PTC151170,Karnataka,EPC,Under implementation,National Highway,75,Phase - 1,4,15.13,60.52,Jan-2021,,Mar-2021,12,24,Aug-2021,,Oct-2021,Sep-2023,Mar-2025,,,,0.00,0.00,0.00,317.90,544.02,0.00,0.00,0.00,0.00,,35.96,18,"Chaitanya Consultancy Pvt Ltd,Shree Bhawani Consultancy Service Pvt Ltd",,Design (km 255.703 - km 270.270);,4L from Design km 255.140 to km 270.270 of Addahole-Bantwal section of NH-75 (Old NH-48) under NHDP Phase IV on EPC mode in the state of Karnataka.
28,N/04025/09001/KA,Challakere - Hariyur,Bharatmala Pariyojana,,PNC Challakere (Karnataka) Highways Pvt Ltd,U45400DL2018PTC336256,PNC Infratech Ltd,,Karnataka,PPP HAM,Under implementation,National Highway,150 A,,4,55.7,222.8,Jan-2018,,Jun-2018,17,24,Jul-2018,Dec-2018,Jan-2021,Jan-2023,Mar-2025,Sep-2024,,,0.00,0.00,0.00,1157.00,1167.52,0.00,114.00,0.00,440.00,,20.96,26,"TPF Getinsa Eurostudioes SL,Segmental Consulting & Infrastructure",,"Design (km 358.500 - km 414.205);
PCOD - September 2024;","4L from km 358.500 to km 414.205, Challakere to Hariyur section of NH-150 A, On Hybrid Annuity Mode under Bharatmala Pariyojna in the State of Karnataka"
29,N/07076/01002/AP, Khandaleru Creek - Mollur & Extension,Bharatmala Pariyojana,,,,,,Andhra Pradesh,EPC,Under implementation,National Highway,516 W,,4,15.95,63.8,,,Mar-2023,,,Jun-2023,,Sep-2023,Sep-2025,Sep-2025,,,,0.00,0.00,0.00,512.56,609.43,0.00,0.00,0.00,0.00,,38.21,NA,"Chaitanya Projects Consultancy Pvt Ltd,KDM Engineers & Consultants Pvt Ltd",Rithwik Projects Pvt Ltd,Design (km 0.000 - km 16.046 & km 18.000 - km 19.300);,"4L Greenfield Road connecting North and South industrial cluster of Khandaleru Creek near Krishnapatnam port at Thamminapatnam to Mollur from Km 0.0 to Km 16.046, Part I & 6L extension of dedicated port road of NH-67 (Km 18.0 to Km 19.3, Part II)"
30,N/02003/02003/KA,Dodaballapur Bypass - Hoskote,Bharatmala Pariyojana,Bangalore Satellite Town Ring Road (Package - 2),Dodaballapur - Hoskote Highways Pvt Ltd,U45202MP2020PTC052999,Dilip Buildcon Ltd,,Karnataka,PPP HAM,Provisionally Completed,National Highway,648,Phase - 1,4/6,38,,Jan-2019,,Aug-2020,17,24,Oct-2020,,Feb-2021,Feb-2023,Jul-2023,Jul-2023,Jul-2023,,0.00,511.20,0.00,1278.00,1317.74,0.00,0.00,0.00,395.00,,34.68,,L.N. Malviya infra projects Pvt Ltd,,"Design (42.000 - km 80.00);
PCOD - July, 2023;",4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 ( Old NH-207) [Bangalore Ring Road Pkg 2]
31,,Addahole - Bantwal Cross,Bharatmala Pariyojana,Package - 2,,,KNR Constructions Ltd,L74210TG1995PLC130199,Karnataka,EPC,Under implementation,National Highway,75,Phase - 1,4,48.485,193.94,,,Mar-2021,,24,Jul-2021,,Nov-2021,Nov-2023,Mar-2025,,,,0.00,0.00,0.00,1100.88,1660.19,0.00,0.00,0.00,0.00,,34.24,16,"Chaitanya Consultancy Pvt Ltd,Shree Bhawani Consultancy Service Pvt Ltd",,Design (km 270.270 - km 318.55);,4L of Addahole (Near Gundya) to Bantwal Cross section (Pkg-02) from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 (Old NH-48).
32,N/04027/01001/KA,Bangalore - Hoskote - Mulbagal,NHDP,,Lanco Hoskote Highway Ltd,U45200TG2007PLC053124,Lanco Infratech Ltd,,Karnataka,PPP BOT - Toll,Completed,National Highway,4,III,4,79.72,318.88,Apr-2006,,Feb-2007,20,30,Jul-2007,Jan-2008,Jan-2008,Jul-2010,Dec-2014,,Dec-2013,Grant,0.00,189.29,0.00,565.00,0.00,614.54,510.16,0.00,0.00,49.54,7.09,41,"Intratech Civil Solutions & Consultant,LN Malviya Infra Projects Pvt Ltd",,Design (km 237.700 - km 318.000);,"4L of Bangalore – Hoskote – Mulbagal Section from Km 237.700 to Km 318.00 of NH-4 to an extent of 80 kms in the state of Karnataka, under BOT basis."
33,N/02002/09001/KA,Belgaum - MH Broder,NHDP,,North Karnataka Expressway Ltd,U45203MH2001PLC133678,IL&FS Transportation Networks Ltd,,Karnataka,PPP BOT - Annuity,Completed,National Highway,4,I,4,77.24,308.96,,,Jul-2001,17.5,30,Nov-2001,Jun-2002,Jun-2002,Dec-2004,,,Nov-2004,Annuity,50.51,0.00,0.00,1515.51,0.00,1636.22,158.00,0.00,465.00,120.71,19.62,-1,"MSV International Inc,MSV International Tech Pvt Ltd",Consolidated Toll Network (India) Ltd,"Design (km 515.000 - km 592.240);
PCOD - November 2004;",4L of Belgaum - Maharashtra Border from km. 515.00 to km. 592.24 of Old NH- 04
34,,Bettadahalli - Shivamogga,Bharatmala Pariyojana,Tumkur - Shivamogga (Package - 4),Ashoka Bettadahalli Shivamogga Road Pvt Ltd,U45201DL2019PTC348441,Ashoka Buildcon Ltd,,Karnataka,PPP HAM,Under implementation,National Highway,206,Phase - 1,4,56.34,225.36,,,Mar-2019,15,24,Jan-2020,Sep-2021,Oct-2021,Oct-2023,Mar-2025,,,,0.00,119.00,0.00,1382.00,1331.77,0.00,51.00,250.00,0.00,,23.64,17,LN Malviya Infra Projects Pvt Ltd,,Design (170.415 km - 226.750);,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH- 206 (Tumkur- Shivamogga Pkg-4)
35,N/08007/02001/KA,Bijapur - Hungund,NHDP,,Bijapur Hungund Tollway Pvt Ltd,U45203GJ2010PTC059669,Sadbhav Engineering Ltd,,Karnataka,PPP BOT - Toll,Completed,National Highway,50,III,4,97.25,389,Oct-2009,,Feb-2010,20,36,Mar-2010,,Feb-2010,Mar-2013,,Jun-2012,Jun-2012,Grant,0.00,273.60,0.00,1226.00,0.00,1257.10,137.00,430.00,846.50,31.10,12.61,-9,"Dhruv Consultancy Services Ltd.,Chaitanya Projects Consultancy Pvt.  Ltd. (JV)",,"Design (km 102.000 - km 202.000);
PCOD: April 2012;","4L of Bijapur-Hungund Section of NH-13 from km 102.00 to km 202.00 under Build, Operate and Transfer (BOT) basis."
36,N/04029/09001/KA,Channarayapatna & Hassan,Bharatmala Pariyojana,,,,Power Mech Projects Ltd,L74140TG1999PLC032156,Karnataka,EPC,Under implementation,National Highway,75,Phase - 1,4,20.71,82.84,Jan-2020,,Sep-2020,7,24,Oct-2020,,Jan-2021,Jan-2023,May-2025,,,,0.00,0.00,0.00,555.13,688.00,0.00,0.00,0.00,0.00,,33.22,26,Theme Engineering Services Pvt. Ltd.,SRC Infra Developers Pvt Ltd,Design (km 140.449 - km 149.596) & (km 175.935 - 185.684) & (km 108.489 - km 150.00);,"4L of Channarayanapatna Bypass from km. 140.449 to km. 149.596 and Hassan Bypass from km. 175.935 to km. 185.684 and providing Grade Separator Structures, Service Road and other safety measures in Devihalli (km. 108.486) to Hassan (km. 185.684) section of NH-75 (old NH-48), on EPC basis in the state of Karnataka"
37,N/06024/02001/TN,Chettikulam - Natham,Bharatmala Pariyojana,,,,Lakshmi Infrastructure & Developers India Pvt Ltd,U45209AP2014PTC095662,Tamil Nadu,EPC,Under implementation,National Highway,785,Phase - 1,4,29.39,117.56,,,Mar-2018,72,24,Apr-2018,,Nov-2018,Nov-2020,Oct-2024,,,,0.00,0.00,0.00,785.00,837.61,0.00,0.00,0.00,0.00,,28.50,52,Theme Engineering Services Pvt Ltd,"I Vetrivel,Om Sakthi Construction (JV)",Design (km 7.300 - km 36.690);,4L of Chettikulam to Natham section of NH-785
38,N/08045/01001/TN,Cholapuram - Thanjavur,NHDP ,,Patel Cholopuram-Thanjavur Highway Pvt Ltd,U45309GJ2017PTC099166,Patel Infrastructure Ltd,,Tamil Nadu,PPP HAM,Under implementation,National Highway,36,IV,4,47.835,191.34,Mar-2017,,Aug-2017,17,24,Oct-2017,Mar-2018,Sep-2018,Sep-2020,Oct-2024,,,Annuity,53.82,0.00,0.00,1345.60,1680.44,0.00,0.00,0.00,649.89,,35.13,54,Theme Engineering Services Pvt Ltd,,Design (km 116.440 - km 164.275);,4L of Cholapuram - Thanjavur section from km 116.4 to km 164.275 of Old NH-45C
